donorId,parentDonorId,transplantationDonorId,species,sex,age,race
DONfec0433f,,,Danio rerio,,,
DON6959b089,,,Homo sapiens,,,
DONd0ee487d,,,Mus musculus,,,
DON364c32b6,,,Rattus norvegicus,,,
DON8fe9af58,,,Sus scrofa,,,
